gene_symbols
ACLY
ACC
FASN
SCD
CPT1A
CPT2
ACADVL
HADH
ACADS
ECHS1
HSD17B4
HADHB
GPAT2
GPAT3
LPIN2
DGAT1
PNLIP
PNPLA2
HSL/LIPE
MGLL
GPAT4/AGPAT6
AGPAT3
LPIN3
CDS2
PGS1
DUSP23/PTPMT1
PITPNM1
CDS1
CDIPT
PTDSS1
PTDSS2
PEMT
CEPT1
CEPT1
CEPT1
CEPT1
DGAT1
PLCL1
PLCL1
CRLS1
GDPD1
GDPD5
GDE1
SPTLC2
KDSR
CERS4
DEGS2
ACER1
SGPP1
SGPL1
ALDH3A2
SMPD1
UGCG
ACAT2
HMGCS1
HMGCR
MVK
PMVK
MVD
IDI1
GGPS1
FDPS
FDFT1
SQLE
LSS
CYP51A1
TM7SF2
LBR
MSMO1
NSDHL
HSD17B7
EBP
DHCR24
SC5D
DHCR7
CYP46A1
CYP39A1
CYP7B1
CYP8B1
AKR1D1
AKR1C4
CYP27A1
SLC27A2
AMACR
ACOX2
HSD17B4
BAAT
